Date,Total_Downtime_Hours,Mechanical Failure,Electrical Fault,Power Grid Outage,Raw Material Shortage,Planned Maintenance,Quality Hold,Labour/Shift Change
2025-12-22,0.93,0.177,0.144,0.044,0.343,0.0,0.2,0.021
2025-12-23,0.08,0.034,0.01,0.019,0.013,0.0,0.002,0.002
2025-12-24,0.56,0.192,0.011,0.284,0.023,0.0,0.001,0.049
2025-12-25,1.04,0.28,0.069,0.152,0.172,0.0,0.121,0.246
2025-12-26,1.63,1.001,0.231,0.001,0.141,0.0,0.061,0.195
2025-12-27,2.6,1.501,0.13,0.449,0.053,0.001,0.094,0.372
2025-12-28,1.04,0.157,0.065,0.236,0.354,0.008,0.077,0.144
2025-12-29,0.32,0.114,0.027,0.008,0.119,0.041,0.005,0.006
2025-12-30,1.63,0.328,0.628,0.066,0.342,0.0,0.08,0.186
2025-12-31,8.4,2.466,0.558,1.008,0.563,0.0,3.355,0.451
